[2024-08-23T12:45:11.293+0530][1.934s][98688][9731][debug] Clearing root 371: was 0x00000007fef0a838
[2024-08-23T12:45:11.293+0530][1.934s][98688][9731][trace] Restored java.lang.reflect.Type archived mirror 0x00000007fef0a838
[2024-08-23T12:45:11.293+0530][1.934s][98688][9731][debug] Clearing root 375: was 0x00000007fef0a9d0
[2024-08-23T12:45:11.293+0530][1.934s][98688][9731][trace] Restored [Ljava.lang.reflect.Type; archived mirror 0x00000007fef0a9d0
[2024-08-23T12:45:11.293+0530][1.934s][98688][9731][debug] Clearing root 378: was 0x00000007fef0aae8
[2024-08-23T12:45:11.293+0530][1.934s][98688][9731][trace] Restored java.lang.invoke.TypeDescriptor archived mirror 0x00000007fef0aae8
[2024-08-23T12:45:11.293+0530][1.934s][98688][9731][debug] Clearing root 733: was 0x00000007fef14210
[2024-08-23T12:45:11.293+0530][1.934s][98688][9731][trace] Restored [Ljava.lang.invoke.TypeDescriptor; archived mirror 0x00000007fef14210
[2024-08-23T12:45:11.293+0530][1.934s][98688][9731][debug] Clearing root 374: was 0x00000007fef0a960
[2024-08-23T12:45:11.293+0530][1.934s][98688][9731][trace] Restored java.lang.invoke.TypeDescriptor$OfField archived mirror 0x00000007fef0a960
[2024-08-23T12:45:11.293+0530][1.934s][98688][9731][debug] Clearing root 734: was 0x00000007fef14280
[2024-08-23T12:45:11.293+0530][1.934s][98688][9731][trace] Restored [Ljava.lang.invoke.TypeDescriptor$OfField; archived mirror 0x00000007fef14280
[2024-08-23T12:45:11.293+0530][1.934s][98688][9731][debug] Clearing root 19: was 0x00000007fef00958
[2024-08-23T12:45:11.293+0530][1.934s][98688][9731][trace] Restored java.lang.Class archived mirror 0x00000007fef00958
[2024-08-23T12:45:11.293+0530][1.934s][98688][9731][debug] Clearing root 244: was 0x00000007fef06a08
[2024-08-23T12:45:11.293+0530][1.934s][98688][9731][trace] Restored [Ljava.lang.Class; archived mirror 0x00000007fef06a08
[2024-08-23T12:45:11.293+0530][1.934s][98688][9731][debug] Clearing root 35: was 0x00000007fef010a8
[2024-08-23T12:45:11.293+0530][1.934s][98688][9731][trace] Restored java.lang.Cloneable archived mirror 0x00000007fef010a8
[2024-08-23T12:45:11.293+0530][1.934s][98688][9731][debug] Clearing root 2003: was 0x00000007fef36f38
[2024-08-23T12:45:11.293+0530][1.934s][98688][9731][trace] Restored [Ljava.lang.Cloneable; archived mirror 0x00000007fef36f38
[2024-08-23T12:45:11.293+0530][1.934s][98688][9731][debug] Clearing root 38: was 0x00000007fef01218
[2024-08-23T12:45:11.293+0530][1.934s][98688][9731][trace] Restored java.lang.ClassLoader archived mirror 0x00000007fef01218
[2024-08-23T12:45:11.293+0530][1.934s][98688][9731][debug] Clearing root 39: was 0x00000007fef01298
[2024-08-23T12:45:11.293+0530][1.934s][98688][9731][debug] Clearing root 540: was 0x00000007fef0ec58
[2024-08-23T12:45:11.293+0530][1.934s][98688][9731][trace] Restored [Ljava.lang.ClassLoader; archived mirror 0x00000007fef0ec58
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][debug] Clearing root 15: was 0x00000007fef00770
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][trace] Restored java.lang.System archived mirror 0x00000007fef00770
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][debug] Clearing root 16: was 0x00000007fef00810
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][debug] Clearing root 36: was 0x00000007fef01118
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][trace] Restored java.lang.Throwable archived mirror 0x00000007fef01118
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][debug] Clearing root 37: was 0x00000007fef011b8
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][debug] Clearing root 435: was 0x00000007fef0c288
